D1-SRR4342129__metabat_output_2	{'GC': 0.4445779513367378, 'GC std': 0.017839241594367727, 'Genome size': 243017, '# ambiguous bases': 0, '# scaffolds': 70, '# contigs': 70, 'Longest scaffold': 8628, 'Longest contig': 8628, 'N50 (scaffolds)': 3272, 'N50 (contigs)': 3272, 'Mean scaffold length': 3471.6714285714284, 'Mean contig length': 3471.6714285714284, 'Coding density': 0.9063398856870095, 'Translation table': 11, '# predicted genes': 268}
D1-SRR4342129__metabat_output_5	{'GC': 0.4906930027911047, 'GC std': 0.019487990958342888, 'Genome size': 452509, '# ambiguous bases': 0, '# scaffolds': 128, '# contigs': 128, 'Longest scaffold': 7700, 'Longest contig': 7700, 'N50 (scaffolds)': 3504, 'N50 (contigs)': 3504, 'Mean scaffold length': 3535.2265625, 'Mean contig length': 3535.2265625, 'Coding density': 0.9227418681175402, 'Translation table': 11, '# predicted genes': 494}
D1-SRR4342129__metabat_output_1	{'GC': 0.617468579130187, 'GC std': 0.01492504855634843, 'Genome size': 912610, '# ambiguous bases': 0, '# scaffolds': 221, '# contigs': 221, 'Longest scaffold': 13193, 'Longest contig': 13193, 'N50 (scaffolds)': 4023, 'N50 (contigs)': 4023, 'Mean scaffold length': 4129.457013574661, 'Mean contig length': 4129.457013574661, 'Coding density': 0.923742891267902, 'Translation table': 11, '# predicted genes': 1047}
D1-SRR4342129__metabat_output_6	{'GC': 0.527436929694573, 'GC std': 0.009752158763556465, 'Genome size': 714639, '# ambiguous bases': 0, '# scaffolds': 183, '# contigs': 183, 'Longest scaffold': 9974, 'Longest contig': 9974, 'N50 (scaffolds)': 3829, 'N50 (contigs)': 3829, 'Mean scaffold length': 3905.1311475409834, 'Mean contig length': 3905.1311475409834, 'Coding density': 0.9473006650910459, 'Translation table': 11, '# predicted genes': 865}
D1-SRR4342129__metabat_output_7	{'GC': 0.39257956068067784, 'GC std': 0.013547768737176556, 'Genome size': 906038, '# ambiguous bases': 0, '# scaffolds': 182, '# contigs': 182, 'Longest scaffold': 32682, 'Longest contig': 32682, 'N50 (scaffolds)': 5177, 'N50 (contigs)': 5177, 'Mean scaffold length': 4978.2307692307695, 'Mean contig length': 4978.2307692307695, 'Coding density': 0.9648348082530754, 'Translation table': 11, '# predicted genes': 1008}
D1-SRR4342129__metabat_output_12	{'GC': 0.540941773214534, 'GC std': 0.016516335172653974, 'Genome size': 1467572, '# ambiguous bases': 0, '# scaffolds': 54, '# contigs': 54, 'Longest scaffold': 131335, 'Longest contig': 131335, 'N50 (scaffolds)': 37030, 'N50 (contigs)': 37030, 'Mean scaffold length': 27177.25925925926, 'Mean contig length': 27177.25925925926, 'Coding density': 0.9377079966093657, 'Translation table': 11, '# predicted genes': 1302}
D1-SRR4342129__metabat_output_3	{'GC': 0.6280309241604511, 'GC std': 0.015500871317858834, 'Genome size': 1130637, '# ambiguous bases': 0, '# scaffolds': 239, '# contigs': 239, 'Longest scaffold': 17670, 'Longest contig': 17670, 'N50 (scaffolds)': 4903, 'N50 (contigs)': 4903, 'Mean scaffold length': 4730.698744769875, 'Mean contig length': 4730.698744769875, 'Coding density': 0.9465460620871243, 'Translation table': 11, '# predicted genes': 1308}
D1-SRR4342129__metabat_output_4	{'GC': 0.4481775386876114, 'GC std': 0.014047767860963936, 'Genome size': 1404584, '# ambiguous bases': 0, '# scaffolds': 247, '# contigs': 247, 'Longest scaffold': 29101, 'Longest contig': 29101, 'N50 (scaffolds)': 6701, 'N50 (contigs)': 6701, 'Mean scaffold length': 5686.574898785425, 'Mean contig length': 5686.574898785425, 'Coding density': 0.9477980669009471, 'Translation table': 11, '# predicted genes': 1574}
D1-SRR4342129__metabat_output_10	{'GC': 0.4495652207234091, 'GC std': 0.01872404284353493, 'Genome size': 2087726, '# ambiguous bases': 0, '# scaffolds': 395, '# contigs': 395, 'Longest scaffold': 31030, 'Longest contig': 31030, 'N50 (scaffolds)': 5569, 'N50 (contigs)': 5569, 'Mean scaffold length': 5285.382278481013, 'Mean contig length': 5285.382278481013, 'Coding density': 0.9492155579803097, 'Translation table': 11, '# predicted genes': 2157}
D1-SRR4342129__metabat_output_11	{'GC': 0.6212203678245053, 'GC std': 0.021812552249365548, 'Genome size': 2557524, '# ambiguous bases': 0, '# scaffolds': 516, '# contigs': 516, 'Longest scaffold': 26308, 'Longest contig': 26308, 'N50 (scaffolds)': 5176, 'N50 (contigs)': 5176, 'Mean scaffold length': 4956.441860465116, 'Mean contig length': 4956.441860465116, 'Coding density': 0.9105869583237538, 'Translation table': 11, '# predicted genes': 2379}
D1-SRR4342129__metabat_output_8	{'GC': 0.34678629037788616, 'GC std': 0.015069829101827935, 'Genome size': 2405989, '# ambiguous bases': 0, '# scaffolds': 406, '# contigs': 406, 'Longest scaffold': 56583, 'Longest contig': 56583, 'N50 (scaffolds)': 6722, 'N50 (contigs)': 6722, 'Mean scaffold length': 5926.0812807881775, 'Mean contig length': 5926.0812807881775, 'Coding density': 0.9279119729973828, 'Translation table': 11, '# predicted genes': 3136}
D1-SRR4342129__metabat_output_9	{'GC': 0.32792781436421925, 'GC std': 0.03289334334093651, 'Genome size': 5870420, '# ambiguous bases': 0, '# scaffolds': 1323, '# contigs': 1323, 'Longest scaffold': 38170, 'Longest contig': 38170, 'N50 (scaffolds)': 4404, 'N50 (contigs)': 4404, 'Mean scaffold length': 4437.203325774754, 'Mean contig length': 4437.203325774754, 'Coding density': 0.9578180096143035, 'Translation table': 11, '# predicted genes': 7333}
